,custom_distance,artist,song_name,preview,type,id
1396,0.4867457076184371,Tommy Torres,Atado Entre Tus Manos,https://p.scdn.co/mp3-preview/6ca12b9d1bf5237a6c6052250b4b2cdd5583309e?cid=99f699c35c2d4667917d680d9134d27e,romance,0A7Bx1u7ufBNclwcfs02mG
1397,0.486728631692165,Chris Stapleton,More Of You,,,1ITSr1tMba4sXhQQsm7VkB
1398,0.4867242689769737,Eagles,I Can't Tell You Why - 2013 Remaster,,,02BsTeJE4q5gWOTt58ur5U
1399,0.4867200280961539,Summer Salt,Sweet to Me,,,3qqeDnTGXgRftw1RZj4Jv2
1400,0.48667142047738604,Rhye,Open,,,3JsA2sWDNR9oQogGAzqqtH
1401,0.486641782913461,Conor Maynard,Hate How Much I Love You,https://p.scdn.co/mp3-preview/e3ea1416f684310c23fbc6547a01cf2548f75d64?cid=99f699c35c2d4667917d680d9134d27e,pop,2v00WuRHH1WdnXxlHnyURi
1402,0.48661808127074924,Wilbur,Jubilee Line,,,0F3kMN9OPXr0b5metJq2M1
1403,0.486607185913202,Parokya Ni Edgar,Your Song,,,3OpGUlDmRUXh0NkIYWoIlD
1404,0.486599622136507,Dean Martin,Ain't That A Kick In The Head,,,7fQ3PYTYdu208fQ3JEm2U7
1405,0.48659584943346723,Natalie Taylor,Have Yourself a Merry Little Christmas,https://p.scdn.co/mp3-preview/0e7b28a02d6980a75174a5b314dbb399a6c0ee08?cid=99f699c35c2d4667917d680d9134d27e,holidays,7uMwRRjTbAnpamA9cc842p
1406,0.48659239986651953,Jessie Reyez,FIGURES,,,3U3J5v3rkx89WnFEQvAJD5
1407,0.4865910579274714,Johnny Cash,I Hung My Head,,,3iBemYZi4lw53UYDlxqMlw
1408,0.486580362838394,Antonio Aguilar,El Hijo Desobediente,,,1uWves4S89RPNHMMM28H0x
1409,0.48654590575513995,Véronique Sanson,Amoureuse - Remasterisé en 2008,,,5jcS1ZXOYMexs2y88yFnyn
1410,0.4865311729602735,JJ Heller,Meant to Be,https://p.scdn.co/mp3-preview/1683b7b41ed040fedab5a122c2085029548f1634?cid=99f699c35c2d4667917d680d9134d27e,romance,2YGu3QpHqj5AHtS8RzFQdW
1411,0.4865156999723324,Maroon 5,Girls Like You,,,6OEHjJJvdkk1Ln0p0AZdyz
1412,0.4864387087931961,Darondo,Didn't I,,,6Dq2LzijkY9WNPwBGDah4L
1413,0.4864355407816121,Brenda Lee,Break It To Me Gently,,,5JccvAiwcZ7n3urnXqWPsG
1414,0.4863915286215139,Alec Benjamin,Let Me Down Slowly - Recorded at Spotify Studios NYC,https://p.scdn.co/mp3-preview/0684bcd8c218c0ce6a0245dae896d7e9565e33f6?cid=99f699c35c2d4667917d680d9134d27e,pop,1qlc10Iyy8AhJ4zJqwzx4Z
1415,0.4863817317675774,The Drifters,White Christmas,,,72Z28IsvEVLjSWdUKEQgZ0
1416,0.48636220838624905,Banda El Recodo,Cada Vez Te Extraño Mas,,,5aMNyHXPssxFQitvrvyF7q
1417,0.4863617670788585,John Mayer,Waitin' On The Day,,,58ImA5yX8b5UkLy9MDXwWO
1418,0.4863025528526658,Leonard Cohen,Hallelujah,,,7yzbimr8WVyAtBX3Eg6UL9
1419,0.48627906038285756,Enrique Iglesias,Nunca Te Olvidaré,,,0UjtkXe54YuY5SMwXYjkvq
