max_best_average_f1,number of recommendations
0.0006170677009018132,28510
0.0006724608747606088,21382
0.0006754982221796972,17818
0.0006778476735131162,16036
0.0006787830263531176,15145
0.000679491740832039,14700
0.0006798245665907132,14477
0.0006800496216966542,14366
0.0006800963083032032,14310
0.0006800972608774133,14282
0.0006801445776995703,14268
0.0006801350001536954,14261
0.000680152678655247,14265
0.0006801500552903838,14263
