max_best_average_f1,number of recommendations
0.0006170677009018132,28510
0.0006801387618898024,14255
0.0007006922722332466,7128
0.0007050216451481164,3564
0.0006859794617275046,1782
0.0006995888126576606,2673
0.0007032592806263961,3119
0.0007042338516316896,3342
0.0007045692343239154,3453
0.0007047244959078431,3509
0.0007048458185081191,3537
0.0007050717504807778,3551
0.000704929137640879,3544
0.0007049711460151384,3548
0.0007050221323186877,3550
