max_best_average_f1,number of recommendations
0.0006384618882356894,444
0.0005692414443899146,222
0.0006102407386154007,333
0.0006265710738631059,389
0.0006327940793419229,417
0.0006350286028775405,431
0.0006367742591322811,438
0.0006377159991740942,441
0.0006380659498261179,443
